name,page,text
Bij-Bijlagen+bij+Wob-verzoek+over+woordvoerdersoverleg,1,"Totaallijst verslagen WVO 11 januari t/m 13 december 2018

Verslag woordvoerdersoverleg 11 januari 2018 nr.2018.01.11/01
WOB-verzoeken / persvragen

-__ Geconstateerd wordt dat sommige persvragen herhaaldelijk worden gesteld aan alle
departementen (bijv. kosten afscheidsrecepties en nieuwjaarsrecepties) . Afgesproken is dat
wie een dergelijk vraag krijgt deze via de WVO-lijst kenbaar maakt aan de collega’s opdat we
in het WVO een gezamenlijke aanpak kunnen vaststellen

- __ Defensie heeft een eerste reactie op een vraag van De Telegraaf naar de dienstauto's van
bewindspersonen |(zier hieronder). Hoewel De Telegraaf niet vraagt naar de gebruikte auto,
verzoek aan allen om Î0:2e te melden welke auto de bewindspersonen
gebruiken.

- Vragen Telegraaf + eerste reactie:

- Uit welke auto’s kunnen de ministers kiezen?

-___Ministers kiezen niet hun auto.

-__ De auto wordt geselecteerd op grond van het vigerende beleid binnen het ministerie. De minister
accentueert eventueel bepaalde beleidsbeginselen bij de selectie van het voertuig. Dit voertuig wordt
dan afgeroepen uit de Raamovereenkomsten die Rijksbreed, na het doorlopen van een Europese
aanbesteding, zijn afgesloten.

-__De Afroep vindt plaats door het doorlopen van een mini-competitie.

-__De auto van het ministerie van lenW, waarop wordt gedoeld in de toelichting van de Telegraaf, is
geselecteerd met additionele milieu-eisen als selectiecriteria.

-e Krijgen de staatssecretarissen ook iets te kiezen?

- Voor staatssecretarissen gelden dezelfde regels als voor ministers.

-e Zo ja, welke auto’s staan er op het ‘menu’?

-__ Zoals aangegeven staan er geen auto’s “op het menu”. De percelen met dienstauto’s zijn tot stand
gekomen na het doorlopen van een Europese aanbesteding. De samenstelling van de percelen wordt

gezien als commercieel vertrouwelijke informatie.

- Zijn de Tesla’s inmiddels aangeschaft?

-__ De Tesla's waarnaar de Telegraaf hier informeert zijn niet aangeschaft maar op grond van een lease-
overeenkomst gehuurd voor de periode van de te doorlopen pilot.

-__Doel van het onderzoek was de inzet van deze auto’s t.b.v. de ambtelijke top, niet de inzet t.b.v.
vervoer van bewindspersonen.

-__ De betrokken auto’s blijken minder geschikt voor de beoogde doelgroep. De pilot is beëindigd.
De auto’ s rijden door tot medio 2018.

-e Worden de Tesla’s ook gebruikt voor bewindslieden?

-__ Zie voorgaand antwoord

-e Zijn de elektrische dienstauto’s bij Defensie alleen voor militair personeel?

-___Civiele Dienstauto’s, ook indien elektrisch aangedreven, worden bij defensie uitsluitend functioneel
ingezet. Dit is niet afhankelijk van het feit of de berijder een militair danwel een burgerfunctionaris is.

Te coördineren
"
Bij-Bijlagen+bij+Wob-verzoek+over+woordvoerdersoverleg,2,"Met het oog op het komend raadplegend referendum WIV (21 maart) zal BZK de leden van
het WVO van relevante informatie voorzien

RVD (10:2e ) coördineert het persbericht rond het bezoek komende donderdag van
EC Oettinger aan Financiën en BuZa

BuZa geeft volgende week voor journalisten een technische achtergrondbriefing over het
Mfk
"
Bij-Bijlagen+bij+Wob-verzoek+over+woordvoerdersoverleg,3,"Verslag woordvoerdersoverleg 18 januari 2018 nr.2018.01.18/02

Te coördineren

- Het SGO heeft geadviseerd om binnen de ambtelijke omgeving geen whatapp maar Signal te
gebruiken. Deze communicatie-app is door de AIVD als veiliger dan Whatsapp beoordeeld.
Verzoek aan alle woordvoerders dit advies op te volgen. (Zie bericht op Rijksportaal AZ

hieronder)

10.2e

-_RVD gaat niet in op een verzoek (van Î0:2e voor uitgever van

Uitgeverij Conserve) om medewerking aan een boek over het nieuwe kabinet.

Gebruik Signal voor veilig app'en

WhatsApp wordt door bijna iedereen gebruikt. Ondanks berichten dat deze app veilig is, is dat niet het
geval voor zakelijke of vertrouwelijke app'jes. De app Signal is een beter alternatief.

Signal is een voor de overheid goedgekeurd middel voor communicatie tot en met het niveau
‘'Departementaal Vertrouwelijk’. En ook belangrijk: het is net als WhatsApp gratis en eenvoudig in
gebruik.

Sms en WhatsApp zijn niet/ minder veilig

Sms'en is minder populair geworden, maar wordt door sommige mensen nog steeds gebruikt. Hiervan is
bekend dat berichten met eenvoudige middelen gelezen kunnen worden door kwaadwillenden. WhatsApp
is dan een beter alternatief. De berichten die je hiermee stuurt, zijn versleuteld. Alleen is de eigenaar
van WhatsApp Facebook. Een bedrijf dat niet bekend staat om het beschermen van de privacy van zijn
gebruikers.

Bekend is dat WhatsApp actief metadata verzamelt (wie communiceert met wie, wanneer, hoe lang,
waar vandaan, etc.). Daarnaast kun je er ook niet vanuit gaan dat er niets gebeurt met jouw app'jes, die
op de servers van Facebook worden opgeslagen.

Signal: dezelfde encryptie, meer zekerheid

Het Nationaal Bureau voor Verbindingsbeveiliging (NBV), een onderdeel van de AlVD, heeft de app
Signal goedgekeurd voor gebruik binnen de overheid. Hoewel Signal berichten op dezelfde manier
versleutelt als WhatsApp, worden er bij Signal geen berichten opgeslagen op externe servers. Een
bericht staat alleen op de telefoon van jou en de ontvanger. Ook verzamelt Signal geen metadata.

Wij vragen AZ'ers dus om voor zakelijke app'jes Signal te gebruiken. Het wordt al gebruikt door de Unit
ICT en diverse andere onderdelen binnen het Rijk.

Whatsapp voor extern appen, Signal voor je collega's

Binnen AZ en met collega's binnen het Rijk is de afspraak onderling Signal te gebruiken simpel te maken.
De rest van de wereld gebruikt echter WhatsApp en dat is prima. Met externen zul je niet snel informatie
delen die heel gevoelig is (in ieder geval niet via een app-bericht).

Door twee berichtenapps naast elkaar te gebruiken, wordt de kans dat je per ongeluk iets aan de
verkeerde persoon stuurt ook een stuk kleiner.

Het advies is dan ook:

e gebruik Signal voor communicatie met collega's binnen AZ of andere departementen (als die
Signal gebruiken)
gebruik WhatsApp voor communicatie met externe partijen
gebruik SMS liever niet meer

Ook bellen en videobellen

Signal biedt ook de optie om te (video)bellen. Alleen voor bellen geldt dat dit een veiliger alternatief is
voor een normaal (mobiel of vast) telefoongesprek. In het geval van videobellen bestaat daar geen
zekerheid over. Vanzelfsprekend moet degene die je belt ook de app Signal hebben.

Over het algemeen werkt bellen prima, al duurt het opbouwen van een gesprek iets langer en heb je een
stabiele verbinding nodig.
"
Bij-Bijlagen+bij+Wob-verzoek+over+woordvoerdersoverleg,4,"Download en handleiding
Signal is gratis beschikbaar voor zowel iOS als Android. Je kunt de app zelf downloaden in de app store.
De naam is ‘Signal - Private Messenger"".
"
Bij-Bijlagen+bij+Wob-verzoek+over+woordvoerdersoverleg,5,"Verslag woordvoerdersoverleg 25 januari 2018 nr.2018.01.25/03

WOB-verzoeken / persvragen

-__Na de vragen van de Telegraaf over dienstauto’s heeft AD nu aan Defensie vragen gesteld

over het type auto.
-__RTL heeft aan BZK en SZW vragen gesteld over het monitoren van internetgebruik
(pornosites) op departementen. BZK heeft gemeld dat dit niet wordt bijgehouden. Er zijn

vervolgvragen gesteld over de SLA met de ICT-dienst.

Te coördineren

-__RVD meldt dat afspraken van bewindspersonen met leden van het Koninklijk huis ook op de
openbare agenda’s worden vermeld. Bij twijfel contact met de RVD.

-__In het SGO is afgesproken dat ambtenaren bij onderling overleg gebruik maken van de app
Signal. Je kunt de app zelf downloaden in de app store. De naam is 'Signal - Private Messenger’.
"
Bij-Bijlagen+bij+Wob-verzoek+over+woordvoerdersoverleg,6,"Verslag woordvoerdersoverleg van 1 februari 2018, nr. 2018.02.01/ 04

Persvragen

- 10.2e (Algemeen Dagblad) werkt aan een publicatie over de eerste 100 dagen
van het kabinet. In een aantal gevallen heeft hij hierover contact opgenomen met
directies voorlichting, in andere gevallen spreekt hij bewindspersonen aan in de loop
van en naar het Binnenhof op vrijdag.

- __EZK (02e adviseert bewindspersonen om bij eventuele vragen over
gaswinning Groningen morgen (zowel bij binnenkomst als aan het touwtje) te
verwijzen naar minister Wiebes.

Overig

-__Ocw (02e wijst erop dat het advies om gebruik te maken van Signal ipv
Whatsapp nog niet bekend is bij alle bewindspersonen. Hij vraagt via het SGO
hiervoor aandacht te vragen.
"
Bij-Bijlagen+bij+Wob-verzoek+over+woordvoerdersoverleg,7,"Verslag woordvoerdersoverleg van 8 februari 2018, nr. 2018.02.08/ 05

Persvragen

- Alle departementen hebben een vraag van RTL gehad naar cursussen van
bewindspersonen. Departementen melden zelf de door hun bewindslieden gevolgde
cursussen. VoRa laat nagaan of deze kosten onder de bestuurskosten vallen.

-__SZW heeft een vervolgvraag (Î0-2e RTL) gekregen over internetgebruik door
ambtenaren op het departement. BZK heeft een algemene lijn waar het gaat om
onderzoek naar internetgebruik door ambtenaren (zie bijlage)

-__BNL heeft aan SZW vragen gesteld in welke mate SZW en UWV geld terugvorderen

- AZ heeft een WOB verzoek (Follow the money)gehad n.a.v. een gesprek van MP met
CEO Larry Fink van het Amerikaanse BlackRock.

- BZK heeft een WOB-verzoek ontvangen van het AD over verlengd ziekteverlof
(ambtenaren die na één jaar ziekte 100% loon ontvangen).

Overig

- Verzoek aan deelnemers WVO om woordvoerders die bewindslieden begeleiden naar
de MR op de hoogte te stellen van kabinetsbrede thema's die in het WVO aan de orde
waren.

- Volgende week in het WVO criteria / richtlijnen voor het opstellen van de openbare
agenda

Bijlage:
Uit gedragscode Rijk:

Gepast gebruik

Respecteer het feit dat het om overheidsmiddelen gaat die je voor het werk ter beschikking worden
gesteld. Gebruik ze voor het doel waarvoor je ze hebt gekregen en ga er voorzichtig en zuinig, dus
zonder onnodige verspilling, mee om.

Het downloaden van illegale software, het bekijken, downloaden of verspreiden van pornografische,
racistische, discriminerende, beledigende, aanstootgevende of (seksueel) intimiderende teksten en
afbeeldingen, of het versturen van berichten die (kunnen) aanzetten tot haat en/of geweld, is
verboden.

Zorgvuldig gebruik van middelen en voorzieningen betekent ook dat je alleen zakelijk en werkelijk
gemaakte kosten declareert die niet al op andere wijze vergoed worden (denk bijvoorbeeld aan
representatiekostenvergoeding), je de mobiliteitskaart niet voor privéreizen gebruikt en je
toegangspas niet aan anderen uitleent.

Privégebruik

Bij moderne arbeidsverhoudingen past het niet privégebruik van bedrijfsmiddelen en -
voorzieningen geheel te verbieden. Omgekeerd zul je ook wel eens eigen middelen gebruiken voor
het werk. Gepast privégebruik mag. Misbruik, dat wil zeggen overmatig, uitbundig, onnodig,
storend of schadelijk privégebruik, is echter niet toegestaan.
"
Bij-Bijlagen+bij+Wob-verzoek+over+woordvoerdersoverleg,8,"Verslag woordvoerdersoverleg van 15 februari 2018, nr. 2018.02.015/ 06

Uitvaart oud-minister-president Lubbers

De uitvaart van oud-premier Lubbers is een privé aangelegenheid. Algemene Zaken biedt op verzoek
van de familie ondersteuning.

Woordvoering Buitenlandse Zaken

De teams van de afgetreden minister BuZa en de minister voor BHOS zijn — nu de minister BHOS
tijdelijk waarneemt — in elkaar geschoven. Portefeuilles woordvoerders blijven dezelfde.

Bijlage bij dit verslag : VoRa notitie openbare agenda's bewindspersonen
"
Bij-Bijlagen+bij+Wob-verzoek+over+woordvoerdersoverleg,9,"Verslag woordvoerdersoverleg 22 februari 2018, nr.2018.02.22/07

Persvragen
-__ ANP heeft bij BZK, EZK en DEF navraag gedaan naar de reiskosten van ambtenaren. BZK heeft

ANP een uitleg over de reiskostenregeling gegeven en zal deze ook (via een mail aan de WVO-
verzendlijst) delen met het WVO.

-__RTL heeft van enkele ministeries al een antwoord gekregen op de gestelde vraag over de
cursussen voor de aangetreden bewindspersonen. Op verzoek van OCW worden de antwoorden
verzameld door RVD (10-2e 10.2e en vervolgens gedeeld met het
Wvo.

- _RTL heeft BZ gevraagd om alle correspondentie over MH17. Over dit verzoek zal overleg
plaatsvinden met J&V vanwege de overlap met eerdere soortgelijke verzoeken.

Uitloop MR
10.2e wijst op het toenemend aantal interviews dat bewindspersonen na afloop van de

MR op het Binnenhof houden en de veiligheidsrisico’s die dat met zich meebrengt. Het ‘touwtje’ in
de hal van Binnenhof 19 is er voor media en bewindspersonen om een veilige omgeving te bieden
voor interviews na de MR.

Verspreiding departementale nieuwsberichten

SZW meldt dat het een nieuwe emailservice introduceert voor het verspreiden van nieuwsberichten.
Gebruikers van het huidige systeem wordt gevraagd zich aan te melden via www.nieuwsszw.nl/.
Onduidelijk is of daarmee de bestaande aanmelding via rijksoverheid.nl komt te vervallen. Vanuit het
oogpunt van transparantie en de éénloket-gedachte is het van belang dat aanmelding via
rijksoverheid.nl mogelijk blijft. SZW zal in de volgende WVO-vergadering hier nader op ingaan.
Actualiteit

Met het oog op de inloop van de MR deelt BZK de woordvoeringslijn over de Intrekkingswet
raadgevend referendum. Zie hieronder.

— De minister heeft het met het voorstel tot intrekken van de Wet raadgevend referendum
uitvoering gegeven aan het regeerakkoord.

— De uitslag van het raadgevend referendum is uiteindelijk een advies aan het kabinet en is dus
niet bindend. Dit zet mensen op het verkeerde been en schaadt juist het vertrouwen in de
democratie.

— Ik constateer dat er kritiek vanuit de oppositie is, maar die kritiek is niet eenduidig.
Sommigen willen een correctief referendum, sommigen willen helemaal geen referendum,
sommige willen het zo houden. Dat er sprake is van een verenigd front valt dus te nuanceren.

— De Eerste Kamer gaat over haar eigen agenda. Ik geloof dat ze het snel willen agenderen,
maar er is geen sprake van een spoedprocedure en het kabinet zet dus ook geen druk ihkv
referendum wet-Hillen. Er is in de wet sprake van overgangsrecht. Als de indieners van dit
referendum daaraan voldoen (voor 8 maart 300.000 handtekeningen) dan vindt er nog een
referendum plaats.
"
Bij-Bijlagen+bij+Wob-verzoek+over+woordvoerdersoverleg,10,"Verslag woordvoerdersoverleg 8 maart 2018, nr.2018.03.08/08

10.2e (DPC) geeft een presentatie over de Monitor Ontwikkeling Mediagebruik 2018
(MOM). Het rapport en een deelonderzoek zijn bij dit verslag gevoegd.

Persvragen

-__ Het verzoek van het FD naar het bijwonen van bewindspersonen van de Mattheus Passie wordt
door de departementen zelf beantwoord. OCW zal in de beantwoording ingaan op
het uitnodigingsbeleid van de Bach Verenigingen. FD publiceert morgen.

-__ AZ stuurt, ook voor BZK en LNV, vandaag de antwoorden uit op vragen van RTL naar door
bewindspersonen gevolgde cursussen.

Publiciteit ministerraad

Verzoek om in een vroeg stadium contact op te nemen met de RVD indien er een departementaal

voornemen bestaat om besluitvorming in de MR op een zelf gekozen moment publicitair te

begeleiden.

Professionalisering woordvoerders
10.2e (DPC) vraagt om twee woordvoerders die mee willen denken over de thema’s die in het
kader van de professionalisering woordvoerders aan de orde zullen komen in een aantal BOT-sessies.

Reacties 1029 @minaz.nl

Aanbesteding fotografen
Reacties, opmerkingen van fotografen n.a.v. de Europese aanbesteding fotografie gaarne verwijzen
naar DPC.

Actualiteit
Met het oog op de inloop van de MR deelt Fl de woordvoeringslijn over de salarisverhoging voor ING
topman Hamers

Deze salarisverhoging komt op mij als buitensporig over.

In gesprekken met de sector en andere betrokkenen, hebben we de afgelopen jaren veelvuldig
gesproken over de noodzaak het broze vertrouwen in de financiële sector te herstellen. Een
salarisverhoging als deze draagt daar niet aan bij.

Minister Hoekstra heeft gisteren direct contact opgenomen met ING en de Nederlandse
Vereniging van Banken om te zeggen dat hij verrast, verbaasd en ongelukkig is. Zowel over de

hoogte van deze beloning als over de manier van informeren.

Tegelijkertijd moeten we ons ervan bewust zijn dat dit besluit een verantwoordelijkheid van de
Raad van Commissarissen van ING is.

Die moet met een goed verhaal komen.
"
